abandon,v 拋棄；遺棄 
slope,n 傾斜；坡度 v傾斜
sloppy,a 稀薄的；邋遢的 
slot,n 投幣口；自動販賣機 
slump,v 倒下；陷落 n下降；不景氣
smoothl,ad 平滑地；流暢地 
soar,v 往上飛舞，升 n高飛；高聳
society,n 社會；交際 
software,n 軟體 
solace,n 安慰；慰藉 v安慰
sola,a 太陽的；日光的 
solely,ad 單獨地；唯一地 
solicit,v 請求；懇求 
solve,v 解決；解答 
sophisticated,a 世故的；精緻的 
sort,v 挑選；區分 n種類；品種
sound,n 聲音；響聲 v聽起來
source,n 根源；來源 v隔開
space,n 空間；宇宙 
span,n 礅距；跨度 v橫跨；跨越
special,a 特別的 
specialize,v 專精於 
specialty,n 專業；專長 
specification,n 載明；詳述 
specify,v 具體指定；詳細指明 
speech,n 演說；言論 
speed,n 快速；迅速 v促進；加快
spend,v 花費；浪費 
splendid,a 壯麗的；輝煌的 
sponsor,n 贊助商 
sponsorship,n 資助；支持 
spot,n 斑點；場所 a立即v玷汙；汙辱
spray,n 噴霧；浪花 v噴灑
spread,v 伸展；傳播 n蔓延；流行
spring,n 春天；活力 v跳躍；提出
sprinkle,v 灑；噴；淋 n稀疏小雨；少量
spy,n 間諜；密探 v監視；偵察
square,n 正方形；廣場a 正直的公正的
stability,n 穩定；穩定性 
stable,n 馬；馬棚；畜舍 
stack,n 一堆，一疊；乾草堆 v堆放
staff,n 職員；工作人員 
stage,n 舞臺；階段 v籌劃；舉行
stake,n 危險；股本 v資助；押下
stance,n 立場；態度 
stand,v 站立；站著 n立場；態度
standard,n 標準；水準a 標準的；一流的
standpoint,n 立場；觀點 
staple,n 主要產品 a主要的
state,n 狀況，形態；國家；州 v陳述；聲明
statement,n 陳述；說明 
station,n 車站；駐地；身分 
stationary,a 固定的；停滯的 
stationery,n 文具；信 
statistics,n 統計；統計資料 
status,n 地位；身分 
steadfast,a 堅定的；不動搖的 
steady,a 穩固的；平穩的 v使穩固；使穩定
steam,n 蒸汽；水蒸汽v 蒸發；冒熱氣
stem,v 起源於；攔住；阻擋 n莖，樹幹
stick,n 枝條；棒狀物 v黏貼；堅持；固守
stock,n 進貨；庫存品；股票 v庫存；貯存a庫
storage,n 貯藏；保管 
store,n 店舖；貯存 v貯存
storm,n 暴風雨；爆發；激動 
stormy,a 暴風雨的；暴躁的 v橫衝直撞；猛衝；
storyline,n 故事；情節 
stout,a 頑強的；牢固的；粗壯的 
straight,a 筆直的；正直的 ad立刻；馬上
straightforward,a 徑直的；簡單的 ad坦率地；
strategy,n 策略；計謀 
stream,n 小河；溪流 v流；流動
streamline,a 流線型的 
strength,n 力氣；實力強度 
strengthen,v 增強；鞏固 
stress,n 壓力；緊張；著重 v強調；著重
stretch,n 伸直；展開，曲解 v伸縮；延續；吹
strike,v 打擊；攻擊 n罷工；打擊
strive,v 力爭；苦幹 
structure,n 結構 v構造
study,n 學習；研究 v學習；研究
style,n 風格；作風 
subject,n 主題；題目 v易受⋯；易患⋯
subjectively,ad 主觀地 
submit,v 屈從；忍受；提交；呈遞；主張 
subordinate,a 次要的；隸屬的 n部下；部屬
subscribe,v 訂閱；同意 
subscription,n 訂閱；同意 
subside,v 消退；平息；減弱 
subsidiary,a 輔助的；附帶的 
subsidize,v 補助；資助 
subsidy,n 津貼；補貼 
substantial,a 真實的；堅固的 
substantiate,v 證實；證明 
substitute,n 代替人；代替物 v代替a代替的
subtract,v 減去；去掉 
subway,n 地下鐵 
succeed,v 成功；繼任 
success,n 成功；成就 
sufficient,a 足夠的；充分的 
suggest,v 建議 
suggestion,n 建議 
suit,n 西裝；套；副 v相稱；彼此協調
suitable,a 適當的；合適的 
suitcase,n 小型旅行箱；手提箱 
suite,n 套房；隨從 
sum,n 總數；總和 v總結
summarize,v 作總結；作概括 
superb,a 堂皇的；宏偉的 
superior,a 較高的；上級的；高傲的 
supervise,v 監督；管理 
supervisor,n 管理人；指導者 
supervisory,a 管理（員）的 
supplement,n 增補，補充；副刊 
supplementary,a 增補的；補充的 
supplier,n 供應者 
supply,n 供給；供應 v供給；供應
support,v 支持；擁護 n支持；擁護
supportive,a 支援的；贊助的 
suppose,v 猜想；以為 
surely,ad 確實；無疑 
surface,n 面；表面 a表面的；外觀的v顯露；
surmise,v 推測；猜測 n推測；猜測
surplus,n 剩餘物；順差a 過剩的；剩餘的
surprise,v 驚喜；驚訝 n驚喜；意外
survey,n 問卷 v調查；做問卷
survive,v 生存；生還 
susceptible,a 易被感動的；敏感的 
suspect,v 懷疑；不信任 
suspend,v 懸掛；使飄浮 
sustain,v 支撐；承受 
sweater,n 毛線衣 
swift,a 快速的；快捷的 
switch,n 開關；轉換 v改變；轉移
sympathetic,a 同情的 
sympathize,v 同情；憐憫 
sympathy,n 同情；同情心 
symposium,n 討論會；座談會 
synthesis,n 綜合體；綜合 
system,n 制度；體制 
systematically,ad 有系統地；有組織地 
tackle,v 著手；交涉 
tactful,a 機智的；圓滑的 
tactic,n 戰術；策略 
tag,n 牌子；標籤 v添加；附加
tailor,n 裁縫師 
take,v 拿；取；獲得 
takeout,n 外賣；外賣的 
takeover,n 接管 
talk,v 講話；談話 n講話；談話
talkative,a 多嘴的；健談的 
tangible,a 明確的；確鑿的 
tank,n 貯水池；坦克 
tap,n 閥門；塞子 v接通；裝上
tape,n 膠布；錄音帶 v錄音
target,n 靶子；目標 v對準
task,n 任務；工作 
taste,n 味覺；味道 v吃起來；嚐起來
tax,n 稅金 v課稅
tear,v 撕開；撕裂 n眼淚；淚珠
tease,v 戲弄；逗弄 n戲弄；逗弄
technicality,n 專門性；學術性 
technician,n 技術人員；技師 
technique,n 技巧；技術；技法 
technological,a 技術（學）的 
technology,n 技術；科技 
temper,n 情緒；性情；脾氣 v調和；緩和
temporary,a 臨時的；暫時的 
tenant,n 房客；承租人 
tender,a 嫩的；柔軟的 
tense,a 緊張的；拉緊的v 使繃緊；使緊張
tension,n 拉緊；繃緊 v拉緊；繃緊
tentative,a 試驗性的；嘗試的 
tenure,n 佔有；佔有權 
term,n 期；期限；任期 
terminal,a 末端的；終點的 n終點；末站；航廈
terminology,n 術語，專門用語 
terrible,a 可怕的；嚇人的 
territory,n 領土；版圖；領地 
testify,v 作證；證實 
testimonial,n 證明書；推薦書 
thorough,a 徹底的；完全的 
thoroughness,n 徹底；完全 
though,conj 雖然；儘管ad 然而；還是
thought,n 思維；思考 
thread,n 線狀物；頭緒v 通過；穿過
threat,n 威脅；恐嚇 
thrive,v 興旺；繁榮 
throughout,prep 遍及；遍布 ad處處；始終
thus,ad 如此；這樣 
ticket,n 票；券 
tie,v 束縛；約束；平手 
tight,a 牢固的；緊身的ad 緊緊地
time,n 時間；時光 v測定；記錄
timeliness,n 及時；適時 
titl,n 標題；題目 v加標題於
token,n 標記；標誌；象徵 a象徵性的
toll,n 使用費；通行費 
tool,n 工具；器具 
top,n 頂部；山頂；最高程度 a最高的；最優良
topic,n 主題；要旨 
total,a 總計的；總括的n 總數v合計為
tour,n 旅遊；遊覽 v旅遊；遊覽
tow,v 拖；拉；牽引 n拖；拉；牽引
town,n 鎮；市鎮 
track,n 行蹤；軌道 v跟蹤；追蹤
trade,n 貿易；交易 v交換
tradition,n 傳統 習俗
traditional,a 傳統的 
traffic,n 交通 
trail,v 拖；曳；跟蹤 n小道；痕跡
transact,v 處置；執行 
transaction,n 交易；執行 
transfer,v 轉換；調動 
trash,n 廢物；垃圾 
travel,v 旅遊；移動 
traveler,n 旅行者；旅客 
treasure,n 金銀財寶；財富 v珍愛；珍視
treat,v 對待；處理 n請客
treatment,n 對待；治療 
treaty,n 條約；協定 
tremendous,a 巨大的；極大的 
trial,n 試驗；審問 a試驗的；審訊的
triangle,n 三角形 
tribal,a 部落的；種族的 
tribe,n 部落；種族 
trivial,a 瑣細的；不重要的 
truly,ad 真誠地；忠實地 
trust,n 信任；信賴 v信任；信賴
trustee,n 受託管理人 
turnover,n 翻倒；翻轉 
twice,ad 兩次；兩回；兩倍 
two-sided,a 兩邊的；兩面的 
type,n 類型；型式 v作為⋯的典型；打字
typical,a 典型的；有代表性的 
typo,n 筆誤U 
ultimate,a 最後的；最終的 n終極；結局
ultimately,ad 終極地 
ultra,a 偏激的；過分的 
unable,a 不能的；不會的 
unacceptable,a 無法接受的 
unaccountable,a 無法解釋的；無責任的 
unaccustomed,a 不習慣的；不熟悉的 
unauthorized,a 未被授權的 
unaware,a 未察覺到的ad 意外地；突然地
unbalance,v 使失去平衡 
unbeatable,a 打不垮的 
unbiased,a 無偏見的 
uncertain,a 不確定的 
uncertainty,n 不確定性 
unconventional,a 非傳統的 
underestimate,v 低估 
underground,a 地下的；不公開的 
underline,v 強調；使突出 
understand,v 了解；理解 
understatement,n 不充分的陳述；保守的陳述 
underway,a 在進行中的 
unfair,a 不公平的 
unforeseen,ad 預料之外的 
unfortunately,ad 不幸地 
unidentified,a 未辨別出的；身分不明的 
uniform,n 制服 a相同的；一致的
unify,v 統一；聯合 
unimaginable,a 難以想像的；想不到的 
union,n 結合；合併 
unique,a 獨特的 
uniquely,ad 獨特地 
uniqueness,n 獨特 
unit,n 單位；單元 
unite,v 使聯合；統一 
university,n 大學 
unless,prep 除⋯⋯外conj 如果不；除非
unlimited,a 無限制的；無約束的 
unlock,v 開啟；揭開 
unnecessary,a 不必要的 
unsanitary,a 不衛生的；有礙健康的 
unsatisfactory,a 不滿意的 
upcoming,a 即將來臨的 
update,v 使現代化；更新 
upgrade,v 提高；提升n 升級；上坡
upon,prep 在⋯之上；在⋯上面 
upwards,ad 向上地；朝上 
urban,a 城市的 
urbanize,v 使都市化 
urgent,a 急促的；急的 
use,v 使用 
useful,a 有用的；有價值的 
useless,a 無用的；無價值的 
usual,a 通常的；平常的 
usually,ad 通常地；慣常地 
utilization,n 利用 
utilize,v 利用V 
vacancy,n 空白；空缺 
vacant,a 空的；空著的 
vacation,n 假期；休假 
vaccinate,v 注射疫苗 
vaccination,n 疫苗接種 
vain,a 愛虛榮的；自負的 
valid,a 有根據的；確鑿的 
validat,v 使有效；使生效 
valuable,a 有價值的 
value,n 價值 
van,n 廂型車；小貨車 
vandalize,v 任意破壞 
variable,a 易變的；多變的 
variation,n 變動；差異 
variety,n 多樣化；變化 
various,a 不同的；各種各樣的 
vary,v 使不同；變更 
vas,a 廣闊的；浩瀚的 
vegetable,n 蔬菜 
vegetarian,n 素食主義者 
vehicle,a 運載工具；手段 
veil,n 面紗；面罩 v掩飾；遮蓋
vend,v 出售；販賣 
vendor,n 小販；攤販 
venture,n 冒險事業；投機活動 v冒險
verify,v 證明；證實 
versatile,a 多才多藝的；多功能的 
version,n 版本；說法 
vessel,n 船；艦；血管 
via,prep 透過；憑藉 
viable,a 有望成功的；切實可行的 
vice,v 緊緊夾住 (=vise)
vice versa,ad 反之亦然 
victim,n 受害者；犧牲者 
viewpoint,n 觀點；視角 
violation,n 違反；違背 
virtual,a 虛擬的 
visibility,n 能見度；明顯性 
visible,a 可看見的；清晰的 
visit,v 參觀；訪視 
visitor,n 參觀者；訪視者 
visual,a 可被看見的；視覺的 
vita,a 生命的；充滿活力的 
vivid,a 生動的；活潑的 
vocabulary,n 單字；字彙 
voice,n 聲音 
volatile,a 易揮發的；易變的 
volunteer,n 志願者，義工 v自願
voucher,n 票券；證人 
voyage,n 航海；航行 v航海；航行
wage,v 進行；從事 
wagon,n 運貨馬車 
waist,n 腰；腰部 
wait,v 等；等待 n等待
waiter,n 服務生 
waitress,n 女服務生 
waive,v 放棄；撤回 
wallet,n 皮夾 
wallpaper,n 壁紙 
warehouse,n 倉庫 庫房
warm,a 溫暖的；暖和的v 變暖和
warn,v 警告；告誡 
warning,n 警告；告誡 
warranty,n 保證；擔保 
waste,v 浪費；濫用 n浪費；荒原
watch,n 看守，監視；手錶 v觀看；注視
wave,n 海浪；浪潮 v揮手；飄揚
waver,v 搖擺；搖晃動搖 
weak,a 弱的；虛弱的 
weakness,n 虛弱；弱點 
wealth,n 財產；資源 
weight,n 重量；體重 
whereas,conj 然而；反之 
whether,conj 是否；不管是⋯⋯（或是） 
whole,a 整體的；全部的 
widespread,a 普遍的；廣泛的 
width,n 寬度；闊度 
will,aux 將；將要 n意志；心願；目的
willingness,n 自願；樂意 
wire,n 電纜；電線 v發電報；裝電線
withdraw,v 抽回；拉開；移開 
withdrawal,n 收回；撤回 提款
within,prep 在⋯⋯範圍內；不超過 ad在裡面；
withstand,v 抵擋；反抗 
witness,n 目擊者；見證人 
woeful,a 悲哀的，悲傷的 
wonder,v 納悶；想知道n 驚奇；驚異
wo,v 向⋯⋯求愛；招致；引起 
work,v 工作；勞動 n成果；產品
workaholic,n 工作狂；專心工作的人 
workshop,n 工作坊 
world,n 世界；地球 
worldwide,a 世界範圍的；遍及全球的 
worry,v 擔心；擔憂 
would,aux 將；要 
wrist,n 腕；腕關節X 
X-ray,n X 光檢查v用X光線檢查
yacht,n 快艇；遊艇 
yard,n 庭院；後院 
yawn,n 呵欠 v打呵欠
year-end,n 年終 a年終的
yearly,a 每年的；一年一次的 ad每年；一年一度
yearn,v 思念；渴望 
yearningly,ad 思念地；渴望地 
yield,v 出產；產生 n產量；收穫量
youngster,n 小孩；年輕人 
youth,n 青少年時期；青年；小伙子 
youthful,a 年輕的；青年的 
zip,v 給以速度（或力量）；使增加興趣 n拉
zone,n 地帶；地區 
zoom,v 發出嗡嗡聲；使急遽上升 
zoom-in,v 用變焦距鏡頭使景物放大 
oom-out,v 用變焦距鏡頭使景物縮小 
